Year;Length;Title;Subject;Main Actor;Main Actress;Director;Popularity;Awards
1991;113;High Heels;Comedy;Abril, Victoria;Bosé, Miguel;Almodóvar, Pedro;68;No
1991;105;Predator 2;Action;Alonso, Maria Conchita;Glover, Danny;Hopkins, Stephen;79;No
1991;115;Bataan;War;Arnaz, Desi;Taylor, Robert;;68;No
1991;90;Henry, Portrait of a Serial Killer;Horror;Arnold, Tracy;Rooker, Michael;;69;No
1991;115;Flight of the Intruder;Drama;Arquette, Rosanna;Glover, Danny;Milius, John;51;No
1991;89;Bloodbath;Horror;Baker, Carroll;Hopper, Dennis;;37;No
1991;116;Marrying Man, The;Comedy;Basinger, Kim;Baldwin, Alec;Rees, Jerry;84;No
1991;91;Raw Nerve;Mystery;Bergman, Sandahl;Ford, Glenn;Prior, David A.;88;No
1991;98;Five Easy Pieces;Drama;Black, Karen;Nicholson, Jack;Rafelson, Bob;2;No
1991;119;Meeting Venus;Comedy;Close, Glenn;Arestrup, Niels;Szabó, István;74;No
1991;96;Hearts of Darkness, A Filmmaker's Apocalypse;Drama;Coppola, Eleanor;Bottoms, Sam;Bahr, Fax;72;No
1991;95;Night Gallery;Horror;Crawford, Joan;McDowall, Roddy;Spielberg, Steven;31;No
1991;158;Until the End of the World;Drama;Dommartin, Solveig;Hurt, William;Wenders, Wim;57;No
1991;99;Delicatessen;Comedy;Dougnac, Marie-Laure;Benezech, Pascal;Caro, Marc;78;No
1991;110;Hanover Street;Drama;Down, Lesley-Anne;Ford, Harrison;Hyams, Peter;81;No
1991;102;Hunchback;Drama;Down, Lesley-Anne;Hopkins, Anthony;Tuchner, Michael;33;No
1991;86;Blind Man's Bluff;Mystery;Eilbacher, Lisa;Urich, Robert;Quinn, James;64;No
1991;106;Not Without My Daughter;Drama;Field, Sally;Molina, Alfred;Gilbert, Brian;55;No
1991;104;Hear My Song;Drama;Fitzgerald, Tara;Dunbar, Adrian;Chelsom, Peter;72;No
1991;;Coming Home;Drama;Fonda, Jane;Voight, Jon;;1;Yes
1991;118;Silence of the Lambs, The;Mystery;Foster, Jodie;Hopkins, Anthony;Demme, Jonathan;8;Yes
1991;;Why Me?;Comedy;Greist, Kim;Lambert, Christopher;;74;No
1991;76;Slumber Party Massacre III;Horror;Grye, Brittain;Christian, Keely;;40;No
1991;136;Terminator 2;Action;Hamilton, Linda;Schwarzenegger, Arnold;Cameron, James;8;No
1991;186;At Play in the Fields of the Lord;Drama;Hannah, Daryl;Berenger, Tom;Babenco, Hector;81;No
1991;96;Intimate Stranger;Mystery;Harry, Deborah;Russo, James;Holzman, Allan;23;No
1991;115;Deceived;Mystery;Hawn, Goldie;Heard, John;;55;No
1991;132;Sea of Grass, The;Western;Hepburn, Katharine;Tracy, Spencer;Kazan, Elia;75;No
1991;101;Adam's Rib;Comedy;Hepburn, Katharine;Tracy, Spencer;;62;No
1991;116;Boom Town;Drama;Hepburn, Katharine;Tracy, Spencer;;73;No
1991;145;Dragon Seed;Drama;Hepburn, Katharine;Tracy, Spencer;;34;No
1991;115;Little Women;Drama;Hepburn, Katharine;Tracy, Spencer;;22;No
1991;113;Philadelphia Story, The;Comedy;Hepburn, Katharine;Tracy, Spencer;;25;No
1991;112;Without Love;Comedy;Hepburn, Katharine;Tracy, Spencer;;66;No
1991;113;Woman of the Year;Comedy;Hepburn, Katharine;Tracy, Spencer;;12;No
1991;99;Paris Trout;Drama;Hershey, Barbara;Hopper, Dennis;;53;No
1991;89;If Looks Could Kill;Action;Hunt, Linda;Grieco, Richard;Wilmington, Michael;10;No
1991;108;Necessary Roughness;Comedy;Ireland, Kathy;Bakula, Scott;Dragoti, Stan;60;No
1991;83;Strictly Business;Comedy;Johnson, Anne-Marie;Davidson, Tommy;Hooks, Kevin;3;No
1991;117;Courtship of Eddie's Father, The;Comedy;Jones, Shirley;Howard, Ron;;43;No
1991;120;Awakenings;Drama;Kavner, Julie;De Niro, Robert;Marshall, Penny;8;No
1991;60;Boxing Babes;Action;Lords, Traci;Nichol, Robin;Dell, Stewart;9;No
1991;94;Shock 'em Dead;Horror;Lords, Traci;Donahue, Troy;Freed, Mark;31;No
1991;145;Sophia Loren, Her Own Story;Drama;Loren, Sophia;Gavin, John;;49;No
1991;130;Man of La Mancha;Music;Loren, Sophia;O'Toole, Peter;;55;No
1991;118;Test Pilot;Drama;Loy, Myrna;Gable, Clark;;13;No
1991;102;Curly Sue;Comedy;Lynch, Kelly;Belushi, Jim;Hughes, John;2;No
1991;118;Madonna, Truth or Dare;Music;Madonna;;Keshishian, Alek;54;No
1991;40;National Enquirer, The Untold Story;Music;Madonna;White, Vanna;;65;No
1991;16;Madonna, Like a Virgin;Music;Madonna;;;63;No
1991;113;Audrey Rose;Drama;Mason, Marsha;Hopkins, Anthony;;62;No
1991;144;Robin Hood: Prince of Thieves;Action;Mastrantonio, Mary Elizabeth;Costner, Kevin;Costner, Kevin;8;No
1991;98;Cat Chaser;Drama;McGillis, Kelly;Weller, Peter;Ferrera, Abel;6;No
1991;206;JFK;Drama;Metcalf, Laurie;Costner, Kevin;Stone, Oliver;78;No
1991;97;New Jack City;Action;Michael Michele;Snipes, Wesley;Van Peebles, Mario;80;No
1991;87;Scenes from a Mall;Comedy;Midler, Bette;Allen, Woody;;8;No
1991;240;Four American Composers;Music;Monk, Meredith;Cage, John;Greenaway, Peter;3;No
1991;94;Nothing But Trouble;Comedy;Moore, Demi;Candy, John;Aykroyd, Dan;25;No
1991;108;Prisoner of Honor.;Drama;Neilson, Catherine;Dreyfuss, Richard;Russell, Ken;58;No
1991;110;Star Trek VI: The Undiscovered Country;Science Fiction;Nichols, Nichelle;Shatner, William;Meyer, Nicholas;11;No
1991;85;Circuitry Man;Action;Nicholson, Dana W.;Metzler, Jim;Lovy, Steven;78;No
1991;117;La Femme Nikita;Drama;Parillaud, Anne;Karyo, Tcheky;Besson, Luc;6;No
1991;124;Russia House, The;Drama;Pfeiffer, Michelle;Connery, Sean;Schepisi, Fred;3;No
1991;88;Born to Ride;Action;Polo, Teri;Stamos, John;Baker, Graham;59;No
1991;119;New York Stories;Comedy;Questel, Mae;Allen, Woody;Coppola, Francis Ford;6;No
1991;60;America's Music, Blues;Music;Redd, Vi;Hopkins, Linda;Walton, Kip;54;No
1991;102;Comfort of Strangers, The;Mystery;Richardson, Natasha;Walken, Christopher;Schrader, Paul;5;No
1991;111;Flatliners;Drama;Roberts, Julia;Sutherland, Kiefer;Schumacher, Joel;19;No
1991;142;Hook;Action;Roberts, Julia;Williams, Robin;Spielberg, Steven;4;No
1991;87;To Die Standing;Action;Rose, Jamie;De Young, Cliff;Morneau, Louis;53;No
1991;98;Another You;Comedy;Ruehl, Mercedes;Pryor, Richard;Phillips, Maurice;75;No
1991;110;Freejack;Action;Russo, Rene;Estevez, Emilio;Richardson, Tony;26;No
1991;135;Doors, The;Drama;Ryan, Meg;Kilmer, Val;Stone, Oliver;60;No
1991;135;North by Northwest;Mystery;Saint, Eva Marie;Grant, Cary;Hitchcock, Alfred;20;No
1991;90;Basil The Rat;Comedy;Scales, Prunella;Cleese, John;;9;No
1991;80;Going Under;Comedy;Schaal, Wendy;Pullman, Bill;Travis, Mark W.;30;No
1991;112;Defending Your Life;Comedy;Streep, Meryl;Brooks, Albert;Brooks, Albert;75;No
1991;28;Kids & Pesticides;Drama;Streep, Meryl;Whyatt, Robin;;36;No
1991;111;Seventh Cross, The;Drama;Tandy, Jessica;Tracy, Spencer;;35;No
1991;60;Super Duper Bloopers;Comedy;Taylor, Elizabeth;Cooper, Gary;;21;No
1991;;Elizabeth Taylor Collection, The;Drama;Taylor, Elizabeth;Fisher, Eddie;;21;No
1991;117;Last Time I Saw Paris, The;Drama;Taylor, Elizabeth;Johnson, Van;;13;No
1991;95;Dogfight;Action;Taylor, Lili;Phoenix, River;Savoca, Nancy;66;No
1991;114;After Dark My Sweet;Mystery;Ward, Rachel;Patric, Jason;Foley, James;33;No
1991;104;Doc Hollywood;Comedy;Warner, Julie;Fox, Michael J.;Caton-Jones, Michael;64;No
1991;160;Great Race, The;Comedy;Wood, Natalie;Moore, Dudley;Edwards, Blake;88;No
1991;144;State of Grace;Drama;Wright, Robin;Penn, Sean;Joanou, Phil;49;No
1991;102;Freshman, The;Comedy;;Brando, Marlon;Bergman, Andrew;32;No
1991;105;Fire, Ice & Dynamite;Action;;Moore, Roger;Bogner, Willy;72;No
1991;114;Thunderbolt & Lightfoot;Action;;Eastwood, Clint;Cimino, Michael;16;No
1991;87;Killer Tomatoes Strike Back;Comedy;;Astin, John;De Bello, John;24;No
1991;125;Last Hurrah, The;Drama;;Tracy, Spencer;Ford, John;46;No
1991;117;Full Metal Jacket;War;;Modine, Matthew;Kubrick, Stanley;45;No
1991;97;Rhapsody in August;Drama;;Gere, Richard;Kurosawa, Akira;50;No
1991;95;Fury;Drama;;Tracy, Spencer;Lang, Fritz;48;No
1991;130;For a Few Dollars More;Westerns;;Eastwood, Clint;Leone, Sergio;34;No
1991;89;Green Glove;Drama;;Ford, Glenn;Mate, Rudolph;54;No
1991;87;Father's Little Dividend;Comedy;;Tracy, Spencer;Minnelli, Vincente;52;No
1991;60;Burning Poles, Cecil Taylor in Performance;Music;;Taylor, Cecil;Rochlin, Sheldon;82;No
1991;;Raging Bull;Drama;;De Niro, Robert;Scorsese, Martin;25;No
1991;60;Garrison Keillor's Home;Comedy;;Keillor, Garrison;Sevush, Herb;6;No
1991;193;Separate but Equal;Drama;;Poitier, Sidney;Stevens, George, Jr.;56;No
1991;102;Instant Karma;Comedy;;Cassidy, David;Taylor, Roderick;47;No
1991;;Clint Eastwood Collection, The;Westerns;;Eastwood, Clint;;11;No
1991;;Complete Dirty Harry, Magnum Force, The;Action;;Eastwood, Clint;;53;No
1991;;Tormenta Sobre Arizona;Drama;;Ford, Wallace;;81;No
1991;128;Inherit the Wind;Drama;;Kelly, Gene;;18;No
1991;98;L. A. Story;Comedy;;Martin, Steve;;81;No
1991;99;What about Bob?;Comedy;;Murray, Bill;;6;No
1991;60;Joe Piscopo Video, The;Comedy;;Piscopo, Joe;;44;No
1991;80;Hollywood's Greatest War Movies;War;;Scott, George C.;;41;No
1991;91;Out for Justice;Action;;Seagal, Steven;;2;No
1991;101;I'm All Right Jack;Comedy;;Sellers, Peter;;23;No
1991;101;Magic Christian, The;Comedy;;Sellers, Peter;;75;No
1991;121;Pink Panther, The;Comedy;;Sellers, Peter;;77;No
1991;84;Two-Way Stretch;Comedy;;Sellers, Peter;;7;No
1991;108;Edison the Man;Drama;;Tracy, Spencer;;19;No
1991;101;Keeper of the Flame;Drama;;Tracy, Spencer;;76;No
1991;92;Spencer Tracy Legacy, The;Comedy;;Tracy, Spencer;;44;No
1991;;John Wayne Collection, Red River, The;War;;Wayne, John;;49;No
1991;;John Wayne Four Pack;Western;;Wayne, John;;58;No
1991;;John Wayne Western Greats, Rio Bravo;Western;;Wayne, John;;22;No
1991;56;King of the Pecos;Western;;Wayne, John;;78;No
1991;52;Lawless Frontier, The;Western;;Wayne, John;;35;No
1991;56;Lawless Nineties, The;Western;;Wayne, John;;3;No
1991;54;Neath the Arizona Skies;Western;;Wayne, John;;28;No
1991;53;Randy Rides Alone;Western;;Wayne, John;;75;No
1991;52;Riders of Destiny;Western;;Wayne, John;;30;No
1991;65;Robin Williams;Comedy;;Williams, Robin;;4;No
