Quartiers;Sites;Adresse;Type;Activités (nombre);Nature;L x l x h;Eclairage;Arrosage;Vest joueurs (Arbitres);Sanitaires;Douches;Capacité sécurité;Tribunes;Club House;Catégorie;Date;Acces Hand;Toilette Hand
1.1;Fabre salle rdc;5 rue du Pont de Tounis;Salle rdc;Musculation;;14,70x8,50;;;2;oui;collective;31;;;5ème;;O;N
1.1;Barada gymnase;1 Rue Malbec;Salle;Gymnastique;;25 x 11.5 x 4.85;;;2;1;3 individuelle;50 pers;;;5 ème;;N;N
1.1;Daurade;Quai de la Daurade;Boulodrome;;;;;;;;;;;;;;;
1.1;Quêteurs;Rue des Quêteurs;Boulodrome;;;;oui;;;;;;;;;;O;N
1.1;Saint Sernin gymnase;1 Place Saint Sernin;Gymnase;Basket (1), Mini Basket (3), Volley (4), Handball (1);;40 x 19.98 x 7.38;;;6;18;7 ind, 4 coll;235pers;;;5ème;;N;N
1.1;Port Garaud;Rue du Moulin du château;Boulodrome;;;;;;;;;;;;;;O;N
1.1;Embarthe;Rue des queteurs;City stade;Football (2), Basket (2) Tennis de table (2);;;;;;;;;;;;;N;N
1.2;Héracles;Square de l' Héraclès;Boulodrome;;;;;;;;;;;;;;O;N
1.2;Tracassin;119 rue des Amidonniers;Boulodrome;;;;oui;;;;;;;oui;;;O;N
1.2;Chapou (Eté);1 Rue Saunière;Piscine;Loisirs, Plongée;;25 m + 10 m;;;;oui (public);individuelle;299;;;5ème;;O;O
1.2;Bazacle;Impasse du Ramier des Catalans;Plateau multisports extérieur;Basket (4);Enrobé;;;;;;;;;;;;O;N
1.2;Palais des Sports;3 rue Pierre Laplace;Gymnase;Basket (1), Volley (1), Handball (1), Tennis, Gymnastique;;40,23*20,11*19;;;4 +(2);oui (public);4 collective;2188 pers;1860;;1 ère;;O;O
1.3;Saint Aubin;Boulevard Michelet;Boulodrome;;;;;;;;;;;;;;O;N
1.3;Calvinhac gymnase;6 Rue Jacques Labatut;Dojo;Combat;;28 x 8 x 10;;;1;1;3 individuelle;;;;5 ème;;N;N
1.3;Léo Lagrange gymnase (BAT A) entresol;54 Rue des Sept Troubadours;Gymnase;Basket (1), Volley (1), Handball (1);;24.73 x 44.6 x 12;;;4;4;4 ind, 2 coll;800pers;786;;;;N;N
2.1;Prairie des Filtres;Rue Laganne;Multisports;Basket;Enrobé;;;;;;;;;;;;O;N
2.1;Roguet;rue de Gascogne;Boulodrome;;;;;;;;;;;;;;N;N
2.1;Puig Jean François;4 Rue Coupefer;Gymnase;Basket (1), Volley (1);;31.38 X 22.50 X 8;;;2;2;2 collective;200 personnes;105;;4ème;;O;N
2.1;Les Fontaines pelouse Football;89 Rue des Fontaines;Terrain;Football à 11 et à 7;Gazon;100X65;oui/335.48;oui;4+(2);;;;430;oui;3;2007;N;N
2.1;Ravelin;Place du Ravelin;Boulodrome;;;;;;;;;;;;;;N;N
2.1;Bourrassol;Rue du château d' eau;Boulodrome;;;;oui;;;;;;;;;;O;N
2.2;Bécanne Maurice;Rue Théodore Riviere;Gymnase;Volley (1), Basket (1);;20 X 12 X 6;;;2;2;2 ind, 2 coll;60 personnes;;;5ème;;N;N
2.3;Les Merlettes;64 allée  de Guyenne;Plateau multisports extérieur;Basket, Handball, Volley;Gazon;;;;;;;;;;;;N;N
2.3;Bagatelle;Rue de la Gironde;Boulodrome;;;;oui;;;Oui;;;;oui;;;O;N
2.3;Garcia Victor;61 rue Négogousses;Boulodrome;Lyonnaise;;;oui;;;;;;;;;;O;O
2.3;La Faourette gymnase;18 Rue Paul Lambert;Gymnase;Basket (1), Mini-Basket (6), Volley (4), Handball (1), Badmington (7);;44 X 26 X 7;;;8;18;8 ind, 2 coll;368 personnes;;;3ème;;O;O
2.3;Fontaines Lestang;Rue J.Gamelin;Boulodrome;;;;;;;;;;;;;;O;N
2.3;Papus;Rue du Béarn;Boulodrome;;;;oui;;;;;;;oui;;;O;N
2.3;Tabar;Rue de la Sarthe;Boulodrome;;;;oui;;;;;;;;;;O;N
2.3;Mathieu city stade;Place André Mathieu;Multisports;Handball;Synthétique;;;;;;;;;;;;N;N
2.4;Jardin du  Barry;rue gaston Ramon;Boulodrome;;;;oui;;;;;;;oui;;;O;N
2.4;Baudin;Place Baudin;Plateau multisports extérieur;Basket (1);Enrobé;;;;;;;;;;;;O;N
2.4;Pouvillon herbe foot à 7;Impasse Pouvillon;Terrain;Football à 7;Enherbé;;;;;;;;;;;;O;N
2.4;La Cépière Gymnase;Rue Charles Mouly;Gymnase;Basket (1), Mini-basket (6), Volley (3), Handball (1), Tennis;;40,07 X 23,94;;;2;1;2 collective;?;;;4ème;;N;N
2.4;Pouvillon;Impasse Pouvillon;Plateau multisports extérieur;Basket;;;;;;;;;;;;;O;N
2.4;Casselardit;Place Jean Baptiste Baudin;Boulodrome;;;;oui;;;;;;;;;;O;N
2.4;Fontaine;Avenue Francis de Pressensé;Boulodrome;;;;oui;;;;;;;;;;O;N
2.4;Parc des Sports Georges Aybram;8 Rue Ernest Dufer;Terrain;Rugby;Gazon;120*67;oui;oui;4+(2);Oui (Public);;;1045;oui;2ème;;N;O
2.4;Montané pelouse football;5 Avenue Raymond Badiou;Terrain;Football à 11 et à 7;Gazon;100X65;oui 1/4;oui;4+2;Oui (Public);;;;;5;;N;O
3.1;Toulouse Lautrec piscine;26 Impasse Barthe;Piscine;Loisirs, Aquagym;;25 m;;;;oui;;299;;;4ème;;0;0
3.1;Palais de la Pétanque Claudette Dumont;42 Avenue Frédéric Estèbe;Boulodrome;;;;oui;;;oui (public);;620 pers;;oui;3 ème;;O;N
3.1;Le Cochonnet;Place du marché aux cochons;Boulodrome;;;;oui;;;;;;;oui;;;O;N
3.1;Duchein;33 rue Fonquerne;Boulodrome;;;;oui;;;;;;;oui;;;O;N
3.1;Arnauné piste athlétisme;107 Avenue Frédéric Estèbe;Piste;Piste 80 m;;;;;;;;;;;;;O;N
3.1;Négreneys;Rue de Tunis;Plateau multisports extérieur;Basket (1), Handball (1), Volley (1);;;;;;;;;;;;;N;N
3.1;Bourbaki;Rue Hoche;City stade;mini Basket (2), Handball (1), Tennis de table (2), Volley (1);;;;;;;;;;;;;N;N
3.1;Boutrit Jacques;6 impasse Pierre Curie;Boulodrome;;;;oui;;;;;;;oui;;;O;N
3.1;Roland Garros;Impasse Roland Garros;Plateau multisports extérieur;Basket (1), Handball (1), tennis de table (2);;;;;;;;;;;;;O;N
3.1;Frédéric Estèbe gymnase;59 Rue du général Bourbaki;Gymnase;Basket (1), Volley (1), Badmington (1);;21 x 12.30 x 6;;;2;oui;2 collective;50 pers;;;5ème;;O;N
3.1;Rauzy Michel;52 avenue des minimes;Boulodrome;;;;oui;;;oui (public);;;;oui;5 ème;;O;N
3.1;Pierre et Marie Curie gymnase;Rue de la Jeunesse;Gymnase;Basket (1), Volley (1), torrball;;21 x 12.5 x 5.4;;;1;oui;1 collective;252pers;;;5ème;;O;N
3.2;Jean Boiteux;103 route de blagnac;Piscine;;;;;;;;;;;;;;O;N
3.2;Ponts Jumeaux skate park;31 Rue des Sports;Skate-Park;;;;;;;;;;;;;;O;N
3.2;Sept Deniers piscine;110 Route de Blagnac;Piscine;;;12,5m*6 m;;;2;oui;collective;;;;;;N;N
3.3;Paul Riché;Place Paul Riché;Boulodrome;;;;oui;;;;;;;;;;O;N
3.3;Lalande gymnase;44 Chemin du Seminaire;Gymnase;Basket (1), Volley (1), Handball (1), Badmington (5), Mini hand (2);;40.70 x 21.20x8;;;2;;2 collective;200 pers;;;;;O;N
3.3;TASL Aviron;58 chemin de la Glacière;Base nautique;Aviron;;;;;;;;;;;;;0;0
3.3;Lalande cimetière;Esplanade Pierre Cornac;Boulodrome;;;;;;;;;;;;;;O;N
3.3;Paleficat;Chemin de Paléficat;Boulodrome;;;;oui;;;;;;;oui;;;0;0
3.4;Renan 2;Rue Renan;bi-cross, skate-park;;;;;;;;;;;;;;O;N
3.4;Castillo Michel;5 rue Francis Lopez;Boulodrome;;;;oui;;;;;;;oui;;;O;N
3.4;Borderouge;Place Antonin Froidure;Boulodrome;;;;oui;;;;;;;;;;O;N
3.4;Complexe Sportif Borderouge salle d'activité;3 rue Hubert Monloup;Salle polyvalente;Danse;;14 x 14;;;2;2;2 collective;51 pers;;;5 ème;;O;O
3.4;Lapujade;26 route d'Albi;Gymnase;Basket,Judo,Gymnastique;;24x14;;;1;oui (public);4 collective;200;;;;;O;N
3.4;Georges Ohnet gymnase;8 Rue Georges Ohnet;Gymnase;Basket (1), Volley (3), Badmington (4);;30 x 21 x 6;;;2;oui(public);2 collective;204 pers;;;;;O;N
3.4;Raphaël Parc;Rue Raphaël;Boulodrome;;;;oui;;;;;;;oui;;;O;N
3.4;Croix  Daurade;5 rue Francis Lopez;Boulodrome;;;;;;;;;;;oui;;;O;N
3.4;Les Violettes pelouse Football;6 Rue des Violettes;Terrain;Football à 11 (1) et à 7 (2);Gazon;87 x 51;oui;oui;2+(1);oui;collective;;;;;;O;N
3.4;Bayard gymnase;150 Route de Launaguet;Gymnase;Basket (1), Volley (3), Handball (1), Badmington (4), tennis (1);;30.50 x 20.50 x 7;;;2;;2 collective;50 pers;;;;;O;N
3.4;Borderouge;Rue Ebelot;Plateau multisports extérieur;mini Basket(1), hanball (1);;;;;;;;;;;;;N;N
3.4;Maunoury (Borderouge);Rue Bourges Maunoury;City stade;mini Basket (1), Handball (1);;;;;;;;;;;;;N;N
3.4;Rigal Georges gymnase;4 Rue Van Dick;Gymnase;Combat;;20*10*4;;;2;1;;37 pers;;;;;O;N
3.4;Izards;13 rue des Chamois;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.1;Bonnefoy Sob;6 rue des Archives;Boulodrome;;;;;;;;;;;;;;O;N
4.1;Amouroux Stabilisé Football;4 Impasse W. et C. Booth;Terrain;Football 11et 7;Stabilisé;100 x 60;oui;oui;;;;;;;;;O;N
4.1;Rex;118 rue de Périole;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.1;Amouroux pelouse Football;4 Impasse W. et C. Booth;Terrain;Football 11et 7;Gazon;100X60;oui;oui;2+4;;;;100;oui;;;O;N
4.1;Bonnefoy Raynal;25 rue de Périole;Boulodrome;;;;oui;;;;;;;;;;O;N
4.1;Lapujade;29 chemin de Lapujade;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.1;Amouroux;12 Rue d' Arles;Boulodrome;;;;oui;;;;;;;;;;O;N
4.1;Les hauts de Bonnefoy foot à 7;Rue Giuseppe Garibaldi;Terrain;Football à 7, Basket (1);Herbe, Ciment;;;;;;;;;;;;O;N
4.1;Amouroux;4 Impasse W. et C. Booth;City stade;;;;;;;;;;;;;;;
4.1;William et Catherine Booth;4 rue W. et C. Booth;Boulodrome;;;;oui;;;;;;;;;;O;N
4.2;Argoulets pelouse Rugby 2;29 Rue de Rabastens;Terrain;Rugby;Gazon;80x55;oui;oui;;;;;;;;;O;N
4.2;Argoulets  gymnase;52 rue Dinetard;Gymnase;Basket (1), Volley (4), Handball (1), Badmington (7);;43.90 x 24.30 x 11;;;5;;5 collective;353 personnes;183 places;;3ème;;O;O
4.2;Alex Jany;Rue de Gaillac;Patinoire, piscine;;;;;;;;;;;;;;O;O
4.2;Soncourt Bertrand gymnase;46 Chemin Cassaing;Gymnase;Basket (1), Volley (4), Handball (1), Badmington (7);;40 x 20.50 x 6,11;;;3;3;3 ind, 2 coll;480 personnes;380 places;;;;O;N
4.2;Soupetard gymnase;11 Rue de la Solidarité;Gymnase;Basket (1), Volley (1), Handball (1);;30 x 20 x 6;;;2;;2 collective;200 personnes;;;;;O;N
4.2;La Gloire;Rue Soupetard;Plateau multisports extérieur;Basket, (1);Enrobé;;;;;;;;;;;;O;N
4.2;Argoulets pelouse Football n°2;Rue Louis Plana;Terrain;Football 11 et 7;Gazon;105x68;oui;oui;4+2;;;;;;;;O;N
4.2;La Roseraie;8 avenue du parc;Boulodrome;Lyonnaise;;;oui;;;;;;;oui;;;O;N
4.2;Argoulets Synthétique Football Américain;Rue Louis Plana;Terrain;Football 11/ américain;Synthéthique;110X50;oui;;2+4;;;;;;;;O;N
4.2;Argoulets pelouse Rugby 1;29 Rue de Rabastens;Terrain;Rugby / Football à 7;Gazon;116x66;oui;oui;;;;;;;;;O;N
4.2;Soupetard;44 rue Louis Plana;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.2;Complexe sportif CEAT dojo;8 Rue d'Oran;Dojo;Combat;;;;;2;;;19 personnes;;;;;O;N
4.2;Complexe Sportif CEAT pelouse Football;8 Rue d'Oran;Terrain;Football 11et 7;Gazon;100x68;oui;oui;;;;;;;;;O;N
4.2;Acacia;20 Rue de l'Obélisque;Plateau multisports extérieur;mini Basket (2), Handball(2);Synthétique;;;;;;;;;;;;N;N
4.2;Argoulets pelouse Football n°3;29 Rue de Rabastens;Terrain;Football 11et 7;Gazon;100x66;oui/50%;oui;;;;;;;;;O;N
4.2;Jolimont;rue Képler;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.2;Salonique;57 av de la Gloire;Boulodrome;;;;;;;;;;;oui;;;O;N
4.2;Argoulets Pierre Cahuzac;29 Rue de Rabastens;Terrain;Football / Rugby;Gazon;105x68;oui;oui;4+2;;;;396;oui;;;O;N
4.2;Argoulets Baseball;29 Rue de Rabastens;Terrain;Baseball;Gazon;;oui;;;;;;;;;;O;N
4.2;Opac;Impasse Soupetard;Plateau multisports extérieur;Basket, Handball, Volley;Enrobé;;;;;;;;;;;;O;N
4.2;Argoulets;30 Rue de Rabastens;Boulodrome;;;;non;;;;;;;Non;;;N;N
4.2;Argoulets pelouse Football n°1;29 Rue de Rabastens;Terrain;Football 11et 7;Gazon;100x66;oui;oui;0+2;;;;;;;;O;N
4.2;Complexe sportif CEAT;8 Rue d'Oran;Plateau multisports extérieur;Basket, Handball, piste 400 m;;;;;;;;;;;;;O;N
4.2;Carbonne;8 Rue Gongous;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.2;Argoulets Stabilisé Football;29 Rue de Rabastens;Terrain;Football / hockey;Stabilisé;100x64;oui;oui;;;;;;;;;O;N
4.2;Képler;Rue Jean Montariol;City stade;Basket 1, Handball 1;Enrobé;;;;;;;;;;;;N;N
4.3;Complexe de l'Hers plateau sportif;6 Bis Rue Claudius Rougenet;Plateau multisports extérieur;mini Basket(2), Handball(1);Enrobé;;;;;;;;;;;;O;N
4.3;Salle d'Armes Louis Julien;6 Bis Rue Claudius Rougenet;Salle;Escrime;;;;;;;;;;;;;;
4.3;ZAC de l'Hers Synthétique football;8 Rue Claudius Rougenet;Terrain;Football 11et 7;synthétique;105x60;oui;oui;4+1;;oui;;;;;;O;N
4.3;Sergent Vigné pelouse football;22 Rue de Lille;Terrain;Football 11 et 7;;98x66;oui;;1+2;;;;;oui;5;1995;O;N
4.3;Château de l'hers Petit Gymnase;14 Chemin de Limayrac;Gymnase;Mini Basket( 1), Volley (1), Roller;;20 x 11.5 x 6.62;;;1;2;2 individuelle;180 personnes;;;5ème;;O;N
4.3;Complexe sportif de l'Hers pelouse Rugby synthétique;6 Rue Claudius Rougenet;Terrain;Rugby, Football à 11;Synthétique;100x65;oui;oui;;;oui;;;oui;;;O;O
4.3;Grande Plaine;10 Avenue Jean Gonord;bi-cross;;;;;;;;;;;;;;O;N
4.3;Grande Plaine;10 Avenue Jean Gonord;Skate-Park;;;;;;;;;;;;;;O;N
4.3;Grande Plaine Stabilisé football;10 Avenue Jean Gonord;Terrain;Football 11 et 7;Stabilisé;100x59;oui;oui;;;;;;;;;N;N
